变量1,变量2,N,相关系数,P值,检验方法,选择依据,相关强度,统计显著
基线ALT,基线AST,272,0.7104751152168052,4.2767441883662055e-43,Spearman,存在非正态分布变量,强相关,是
基线ALT,基线GGT,272,0.45493221044921534,2.6704469800001333e-15,Spearman,存在非正态分布变量,中等相关,是
基线ALT,基线ALP,272,0.2135579721212398,0.0003898330664585283,Spearman,存在非正态分布变量,弱相关,是
基线ALT,基线白蛋白,272,-0.011571529769728006,0.8493326197316109,Spearman,存在非正态分布变量,极弱/无相关,否
基线ALT,基线胆红素,272,0.13804447676061823,0.02277932699744433,Spearman,存在非正态分布变量,极弱/无相关,是
基线ALT,肝硬度值基线,252,0.26858733592257594,1.544973201543299e-05,Spearman,存在非正态分布变量,弱相关,是
基线ALT,血小板基线,219,-0.13782602711299005,0.0415798023690961,Spearman,存在非正态分布变量,极弱/无相关,是
基线ALT,ALT变化,265,-0.32409388065485806,6.764913866114893e-08,Spearman,存在非正态分布变量,弱相关,是
基线ALT,AST变化,265,-0.24414467389253244,5.9057079972600584e-05,Spearman,存在非正态分布变量,弱相关,是
基线ALT,肝硬度变化,196,-0.13315060737977322,0.06281796299765202,Spearman,存在非正态分布变量,极弱/无相关,否
基线AST,基线GGT,272,0.41697472424725956,7.246761178617943e-13,Spearman,存在非正态分布变量,中等相关,是
基线AST,基线ALP,272,0.21425756601985882,0.0003725974347406648,Pearson,两变量均正态分布,弱相关,是
基线AST,基线白蛋白,272,-0.12563994651831417,0.038379657945802184,Pearson,两变量均正态分布,极弱/无相关,是
基线AST,基线胆红素,272,0.14536895983048456,0.016430798618680544,Pearson,两变量均正态分布,极弱/无相关,是
基线AST,肝硬度值基线,252,0.373206931233276,9.506888562295956e-10,Spearman,存在非正态分布变量,弱相关,是
基线AST,血小板基线,219,-0.37589646199750415,9.305153523792448e-09,Pearson,两变量均正态分布,弱相关,是
基线AST,ALT变化,265,-0.23933163335408753,8.321161538967161e-05,Spearman,存在非正态分布变量,弱相关,是
基线AST,AST变化,265,-0.3724735916563122,3.812387687621903e-10,Spearman,存在非正态分布变量,弱相关,是
基线AST,肝硬度变化,196,-0.17111675279895425,0.016483729390068702,Spearman,存在非正态分布变量,极弱/无相关,是
基线GGT,基线ALP,272,0.28498967780786416,1.7706983310520015e-06,Spearman,存在非正态分布变量,弱相关,是
基线GGT,基线白蛋白,272,-0.08848474968236715,0.145540988548515,Spearman,存在非正态分布变量,极弱/无相关,否
基线GGT,基线胆红素,272,0.21489244196607912,0.00035757201318416124,Spearman,存在非正态分布变量,弱相关,是
基线GGT,肝硬度值基线,252,0.3121727189277839,4.2386172746004647e-07,Spearman,存在非正态分布变量,弱相关,是
基线GGT,血小板基线,219,-0.29747214289912816,7.506392798714935e-06,Spearman,存在非正态分布变量,弱相关,是
基线GGT,ALT变化,265,-0.019246460109745542,0.7551488468067407,Spearman,存在非正态分布变量,极弱/无相关,否
基线GGT,AST变化,265,-0.017541065870788786,0.7762418827506088,Spearman,存在非正态分布变量,极弱/无相关,否
基线GGT,肝硬度变化,196,-0.1231849977482639,0.08541130250003429,Spearman,存在非正态分布变量,极弱/无相关,否
基线ALP,基线白蛋白,272,-0.044650894027281486,0.463329200337499,Pearson,两变量均正态分布,极弱/无相关,否
基线ALP,基线胆红素,272,-0.011868940443814317,0.8455080599585949,Pearson,两变量均正态分布,极弱/无相关,否
基线ALP,肝硬度值基线,252,0.17400287786251076,0.00561188763822866,Spearman,存在非正态分布变量,极弱/无相关,是
基线ALP,血小板基线,219,-0.21904132065383997,0.0011036505822077263,Spearman,存在非正态分布变量,弱相关,是
基线ALP,ALT变化,265,0.006651667144160319,0.914177652815241,Spearman,存在非正态分布变量,极弱/无相关,否
基线ALP,AST变化,265,-0.06189588681985249,0.31547903537110955,Spearman,存在非正态分布变量,极弱/无相关,否
基线ALP,肝硬度变化,196,-0.08849647586606453,0.21740887322110047,Spearman,存在非正态分布变量,极弱/无相关,否
基线白蛋白,基线胆红素,272,-0.09053889763121417,0.136384819306586,Pearson,两变量均正态分布,极弱/无相关,否
基线白蛋白,肝硬度值基线,252,-0.05356895106267169,0.3971282958475393,Spearman,存在非正态分布变量,极弱/无相关,否
基线白蛋白,血小板基线,219,0.09882400921816772,0.1449334842780313,Pearson,两变量均正态分布,极弱/无相关,否
基线白蛋白,ALT变化,265,-0.021564133233543455,0.7267741361518871,Spearman,存在非正态分布变量,极弱/无相关,否
基线白蛋白,AST变化,265,-0.05773021701119294,0.3492123119608449,Spearman,存在非正态分布变量,极弱/无相关,否
基线白蛋白,肝硬度变化,196,0.0195741258225962,0.7853828871767763,Spearman,存在非正态分布变量,极弱/无相关,否
基线胆红素,肝硬度值基线,252,0.14636824097835405,0.020098459871264067,Spearman,存在非正态分布变量,极弱/无相关,是
基线胆红素,血小板基线,219,-0.2795505912829214,2.7013686158222306e-05,Pearson,两变量均正态分布,弱相关,是
基线胆红素,ALT变化,265,0.026713690746717377,0.6650954699031983,Spearman,存在非正态分布变量,极弱/无相关,否
基线胆红素,AST变化,265,0.017620260533625802,0.775258594018125,Spearman,存在非正态分布变量,极弱/无相关,否
基线胆红素,肝硬度变化,196,-0.07983187602605292,0.2660205173429007,Spearman,存在非正态分布变量,极弱/无相关,否
肝硬度值基线,血小板基线,206,-0.3796945043100015,1.8157824936371282e-08,Spearman,存在非正态分布变量,弱相关,是
肝硬度值基线,ALT变化,245,-0.07905615306730102,0.21756568761776496,Spearman,存在非正态分布变量,极弱/无相关,否
肝硬度值基线,AST变化,245,-0.07598042571578997,0.2360517189843923,Spearman,存在非正态分布变量,极弱/无相关,否
肝硬度值基线,肝硬度变化,196,-0.6050564534263776,5.866575232881768e-21,Spearman,存在非正态分布变量,中等相关,是
血小板基线,ALT变化,212,0.09284835249669204,0.17804118494761936,Spearman,存在非正态分布变量,极弱/无相关,否
血小板基线,AST变化,212,0.14316086969906303,0.03726300952624351,Spearman,存在非正态分布变量,极弱/无相关,是
血小板基线,肝硬度变化,164,0.2145579458137176,0.0058001471648048315,Spearman,存在非正态分布变量,弱相关,是
ALT变化,AST变化,265,0.7339148670099052,4.434789109398404e-46,Spearman,存在非正态分布变量,强相关,是
ALT变化,肝硬度变化,193,0.015407771508864567,0.8315814552071492,Spearman,存在非正态分布变量,极弱/无相关,否
AST变化,肝硬度变化,193,0.011273761318032652,0.8763423126241052,Spearman,存在非正态分布变量,极弱/无相关,否
